month,chain_name,currency
2020-05,polkadot,150.2196387413
2020-06,polkadot,3853021.945246838
2020-07,polkadot,5272176.036493325
2020-08,polkadot,6702867.3727419665
2020-09,polkadot,8312208.240247491
2020-10,polkadot,9101122.760462927
2020-11,polkadot,9731938.571507972
2020-12,polkadot,10417015.503697174
2021-01,polkadot,11572054.531993683
2021-02,polkadot,12632392.24387728
2021-03,polkadot,13449811.725393211
2021-04,polkadot,14076159.533722738
2021-05,polkadot,14914691.532294119
2021-06,polkadot,15812067.167039797
2021-07,polkadot,16791977.671096247
2021-08,polkadot,17695684.673811734
2021-09,polkadot,18519382.42472653
2021-10,polkadot,19744374.232337948
2021-11,polkadot,21469274.781370472
2021-12,polkadot,23102600.186054654
2022-01,polkadot,24983426.548208218
2022-02,polkadot,25682134.180883672
2022-03,polkadot,27464032.718539227
2022-04,polkadot,29024294.672549147
2022-05,polkadot,30903037.52711701
2022-06,polkadot,32626926.01295299
2022-07,polkadot,33008628.997997455
2022-08,polkadot,34926023.89762456
2022-09,polkadot,36796719.21597097
2022-10,polkadot,38868710.31266927
2022-11,polkadot,40475814.59399848
2022-12,polkadot,42665224.03196059
2023-01,polkadot,44450298.15874636
2023-02,polkadot,44511484.996323444
2023-03,polkadot,44115761.58797968
2023-04,polkadot,44477815.533981286
2023-05,polkadot,45431578.13529011
2023-06,polkadot,46451161.47476043
2023-07,polkadot,45523574.22597273
2023-08,polkadot,45378303.00696058
2023-09,polkadot,45236196.54050549
2023-10,polkadot,45155538.17529756
2023-11,polkadot,44068685.33888908
2023-12,polkadot,43830514.89533724
2024-01,polkadot,43479802.25430449
2024-02,polkadot,41348878.74092279
2024-03,polkadot,36836227.86539003
2024-04,polkadot,33375026.139147446
2024-05,polkadot,24914465.581374962